City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,pucallpa,-8.3791,-74.5539,75.24,100,75,0.0,PE,1704414474
253,tidjikja,18.5564,-11.4271,68.61,15,0,10.87,MR,1704414728
254,broken hill,-31.95,141.4333,90.25,37,17,13.27,AU,1704414728
255,amos,48.5669,-78.1162,7.92,86,100,5.03,CA,1704414610
256,margaret river,-33.95,115.0667,69.76,48,0,5.75,AU,1704414729
257,kertih,4.5141,103.4483,78.82,94,40,2.3,MY,1704414730
258,buchanan,5.8808,-10.0467,78.85,86,30,6.76,LR,1704414731
259,ataq,14.5377,46.8319,60.31,69,32,6.22,YE,1704414731
260,mabaruma,8.2,-59.7833,73.76,90,38,3.31,GY,1704414732
261,newnham,-41.3833,147.1333,70.75,60,75,9.22,AU,1704414733
262,rio rancho,35.2334,-106.6645,34.79,93,100,4.61,US,1704414450
263,vilyuysk,63.7553,121.6247,-22.38,96,100,7.14,RU,1704414734
264,boyolangu,-8.1181,111.8935,80.82,84,100,5.03,ID,1704414734
265,sumbawa besar,-8.5,117.4333,85.08,70,100,1.92,ID,1704414735
266,talakan,50.3167,130.3667,4.15,92,100,3.87,RU,1704414736
267,nevers,46.9167,3.3333,45.84,85,100,7.14,FR,1704414736
268,smara,26.7384,-11.6719,61.84,34,0,5.41,EH,1704414737
269,sungai raya,0.7,108.9,77.11,90,100,4.18,ID,1704414737
270,ad dawadimi,24.5077,44.3924,52.95,60,0,7.54,SA,1704414738
271,cosala,24.4125,-106.6908,60.48,75,19,2.82,MX,1704414739
272,naryn,41.4287,75.9911,14.22,72,100,6.87,KG,1704414739
273,saipan,15.1355,145.701,84.9,74,20,10.36,MP,1704414740
274,paraty,-23.2178,-44.7131,73.54,96,100,4.21,BR,1704414741
275,chonchi,-42.6128,-73.8092,64.11,93,100,3.24,CL,1704414742
276,aripuana,-9.1667,-60.6333,72.73,99,100,3.36,BR,1704414742
277,katpur,21.05,71.7833,64.67,47,0,11.05,IN,1704414744
278,kabare,-2.4683,28.8242,61.18,98,100,3.6,CD,1704414744
279,sangmelima,2.9333,11.9833,65.95,95,90,1.16,CM,1704414746
280,tanumah,27.1,44.1333,54.12,68,0,5.99,SA,1704414746
281,gisborne,-38.6533,178.0042,72.27,58,100,7.14,NZ,1704414747
282,sittwe,20.15,92.9,63.19,75,61,5.75,MM,1704414748
283,palmer,42.1584,-72.3287,32.02,49,0,12.66,US,1704414540
284,taoudenni,22.6783,-3.9836,65.97,16,0,8.3,ML,1704414749
285,molina,-35.1167,-71.2833,73.13,56,0,8.05,CL,1704414750
286,belmonte,-15.8631,-38.8828,80.53,87,100,12.46,BR,1704414751
287,barreirinhas,-2.7469,-42.8264,80.29,82,100,8.21,BR,1704414751
288,tazacorte,28.629,-17.9293,67.17,94,100,4.61,ES,1704414752
289,puerto baquerizo moreno,-0.9,-89.6,76.08,86,35,9.95,EC,1704414753
290,aras-asan,8.8908,126.3033,81.19,72,100,2.51,PH,1704414753
291,benjamin constant,-4.3831,-70.0311,77.13,98,100,2.59,BR,1704414754
292,paciran,-6.8767,112.3761,81.52,76,100,6.8,ID,1704414755
293,rio preto da eva,-2.6994,-59.6997,79.92,65,94,1.99,BR,1704414756
294,ljungsbro,58.5167,15.5,11.5,86,20,9.22,SE,1704414756
295,bataipora,-22.2953,-53.2711,79.38,58,36,4.09,BR,1704414757
296,aksu,41.1231,80.2644,20.7,63,14,1.95,CN,1704414758
297,las lajitas,-24.6833,-64.25,79.25,54,100,4.14,AR,1704414759
298,itoman,26.1247,127.6694,64.42,55,40,12.66,JP,1704414759
299,pierre,44.3683,-100.351,31.12,87,100,12.66,US,1704414706
300,kedougou,12.5579,-12.1743,81.18,41,0,4.61,SN,1704414760
301,vanimo,-2.6741,141.3028,85.24,73,15,1.79,PG,1704414761
302,borogontsy,62.6683,131.1683,-30.1,99,99,2.91,RU,1704414761
303,tafuna,-14.3358,-170.72,84.15,100,75,11.5,AS,1704414762
304,tikrit,34.6071,43.6782,53.98,68,5,7.81,IQ,1704414763
305,midvagur,62.0511,-7.1939,43.63,87,100,11.5,FO,1704414763
306,ndioum,16.5129,-14.6471,69.69,12,100,9.75,SN,1704414764
307,vorkuta,67.5,64.0,-18.02,100,100,5.19,RU,1704414764
308,murom,55.5656,42.0417,-12.64,100,77,1.88,RU,1704414765
309,kalmunai,7.4167,81.8167,77.67,87,99,4.65,LK,1704414766
310,ampanihy,-24.7,44.75,70.83,92,91,6.24,MG,1704414766
311,skagen,57.7209,10.5839,24.51,72,100,16.82,DK,1704414767
312,poronaysk,49.2167,143.1167,5.07,88,100,3.4,RU,1704414767
313,forest,37.3638,-79.2897,37.45,59,0,0.0,US,1704414743
314,bereeda,11.8704,51.0579,74.8,62,100,6.82,SO,1704414770
315,reggane,26.7158,0.1714,61.2,24,97,7.07,DZ,1704414771
316,kununurra,-15.7667,128.7333,85.98,74,99,8.05,AU,1704414633
317,galesong,-5.3166,119.3661,80.62,74,100,4.18,ID,1704414772
318,minuyan,10.5137,123.1049,80.51,69,33,5.66,PH,1704414773
319,nogliki,51.8333,143.1667,-11.65,100,75,4.0,RU,1704414774
